Titre :;Dollar australien (AUD);Real brésilien (BRL);Dollar canadien (CAD);Franc suisse (CHF);Yuan renminbi chinois (CNY);Couronne tchèque (CZK);Couronne danoise (DKK);Livre sterling (GBP);Dollar de Hong Kong (HKD);Forint hongrois (HUF);Roupie indonésienne (IDR);Sheqel israélien (ILS);Roupie Indienne (100 paise);Couronne islandaise (ISK);Yen japonais (JPY);Won coréen (KRW);Peso méxicain (MXN);Ringgit malaisien (MYR);Couronne norvégienne (NOK);Dollar neo-zélandais (NZD);Peso philippin (PHP);Zloty polonais (PLN);Leu roumain (RON);Couronne suédoise (SEK);Dollar de Singapour (SGD);Baht thaïlandais (THB);Livre turque (TRY);Dollar des Etats-Unis (USD);Rand sud-africain (ZAR)
Code série :;EXR.D.AUD.EUR.SP00.A;EXR.D.BRL.EUR.SP00.A;EXR.D.CAD.EUR.SP00.A;EXR.D.CHF.EUR.SP00.A;EXR.D.CNY.EUR.SP00.A;EXR.D.CZK.EUR.SP00.A;EXR.D.DKK.EUR.SP00.A;EXR.D.GBP.EUR.SP00.A;EXR.D.HKD.EUR.SP00.A;EXR.D.HUF.EUR.SP00.A;EXR.D.IDR.EUR.SP00.A;EXR.D.ILS.EUR.SP00.A;EXR.D.INR.EUR.SP00.A;EXR.D.ISK.EUR.SP00.A;EXR.D.JPY.EUR.SP00.A;EXR.D.KRW.EUR.SP00.A;EXR.D.MXN.EUR.SP00.A;EXR.D.MYR.EUR.SP00.A;EXR.D.NOK.EUR.SP00.A;EXR.D.NZD.EUR.SP00.A;EXR.D.PHP.EUR.SP00.A;EXR.D.PLN.EUR.SP00.A;EXR.D.RON.EUR.SP00.A;EXR.D.SEK.EUR.SP00.A;EXR.D.SGD.EUR.SP00.A;EXR.D.THB.EUR.SP00.A;EXR.D.TRY.EUR.SP00.A;EXR.D.USD.EUR.SP00.A;EXR.D.ZAR.EUR.SP00.A
Unité :;Dollar Australien (AUD);Real Bresilien (BRL);Dollar Canadien (CAD);Franc Suisse (CHF);Yuan Ren Min Bi (CNY);Couronne Tcheque (CZK);Couronne Danoise (DKK);Livre Sterling (GBP);Dollar de Hong Kong (HKD);Forint (HUF);Rupiah (IDR);Nouveau Israeli Shekel (ILS);Roupie Indienne (INR);Couronne Islandaise (ISK);Yen (JPY);Won (KRW);Nouveau Peso Mexicain (MXN);Ringgit de Malaisie (MYR);Couronne Norvegienne (NOK);Dollar Neo-Zelandais (NZD);Peso Philippin (PHP);Zloty (PLN);Nouveau Ron (RON);Couronne Suedoise (SEK);Dollar de Singapour (SGD);Baht (THB);Nouvelle Livre Turque (TRY);Dollar des Etats-Unis (USD);Rand (ZAR)
Magnitude :;Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0)
Méthode d'observation :;Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A)
Source :;BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0)
2026-03-19;1,6403;6,0877;1,577;0,9121;7,9279;24,517;7,4716;0,86388;8,9966;394,3;19485,57;3,5997;107,133;143,4;182,46;1725,2;20,5858;4,5259;10,996;1,98;69,112;4,2853;5,0972;10,8065;1,4744;37,805;50,92;1,1489;19,6105
2026-03-18;1,6305;6,0079;1,5774;0,9073;7,9214;24,467;7,472;0,86393;9,0135;392,83;19543,1;3,568;106,83;143,6;183,49;1729,08;20,3942;4,504;11,0205;1,9763;69,001;4,2713;5,0938;10,7778;1,4734;37,565;50,8539;1,15;19,4174
2026-03-17;1,6227;6,0064;1,5804;0,9068;7,9412;24,437;7,4718;0,8643;9,0355;388,33;19554,27;3,5733;106,5055;143,6;183,29;1714,87;20,3662;4,5178;11,073;1,9693;68,677;4,2593;5,0915;10,7055;1,4723;37,268;50,973;1,1531;19,2092
2026-03-16;1,6272;6,0492;1,5703;0,9041;7,9154;24,436;7,472;0,86408;8,9881;390,23;19472,25;3,58;105,8818;143,4;182,66;1711,08;20,4306;4,5114;11,149;1,9647;68,579;4,2683;5,0947;10,769;1,4676;37,143;50,7157;1,1478;19,2461
2026-03-15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
